cell,layer,datatype,area_mm2,xmin_mm,ymin_mm,xmax_mm,ymax_mm,cx_mm,cy_mm,Qubit,distance_mm
TOP_main_1_Cheese_diff,1,101,0.0006249999999999984,-2.6125,-0.4125,-2.5875,-0.38749999999999996,-2.5999999999999996,-0.39999999999999997,Q1,0.5656854249492382
TOP_main_1_Cheese_diff,1,101,0.0006250000000000094,-2.9125,-0.4125,-2.8874999999999997,-0.38749999999999996,-2.9,-0.39999999999999997,Q1,0.412310562561766
TOP_main_1_Cheese_100,1,100,0.001875000000000006,-2.6875,-0.4125,-2.6125,-0.38749999999999996,-2.65,-0.39999999999999997,Q1,0.5315072906367325
TOP_main_1_Cheese_100,1,100,0.001875000000000006,-2.7875,-0.4125,-2.7125,-0.38749999999999996,-2.75,-0.39999999999999997,Q1,0.4716990566028302
TOP_main_1_Cheese_100,1,100,0.001874999999999995,-2.8874999999999997,-0.4125,-2.8125,-0.38749999999999996,-2.8499999999999996,-0.39999999999999997,Q1,0.42720018726587666
TOP_main_1_Cheese_100,1,100,0.001874999999999995,-2.9875,-0.4125,-2.9125,-0.38749999999999996,-2.95,-0.39999999999999997,Q1,0.4031128874149274
TOP_main_1_Cheese_100,1,100,0.001875000000000006,-3.0875,-0.4125,-3.0124999999999997,-0.38749999999999996,-3.05,-0.39999999999999997,Q1,0.4031128874149274
TOP_main_1_Cheese_100,1,100,0.001875000000000006,-3.1875,-0.4125,-3.1125,-0.38749999999999996,-3.15,-0.39999999999999997,Q1,0.4272001872658765
TOP_main_1_Cheese_100,1,100,0.001874999999999995,-3.2874999999999996,-0.4125,-3.2125,-0.38749999999999996,-3.25,-0.39999999999999997,Q1,0.4716990566028302
TOP_main_1_Cheese_100,1,100,0.001874999999999995,-3.3874999999999997,-0.4125,-3.3125,-0.38749999999999996,-3.3499999999999996,-0.39999999999999997,Q1,0.5315072906367322
TOP_main_1_Cheese_100,1,100,0.10035658644299991,-3.88964,-0.38749999999999996,-1.6410909999999999,-0.342603,-2.7653654999999997,-0.3650515,Q1,0.4339538526646585
TOP_main_1_Cheese_100,1,100,0.06670535811199996,-3.88964,-0.342603,-1.666617,-0.3125,-2.7781285000000002,-0.3275515,Q1,0.39562222847623196
TOP_main_1_Cheese_100,1,100,0.001875000000000006,-2.6875,-0.3125,-2.6125,-0.2875,-2.65,-0.3,Q1,0.46097722286464443
