cell,layer,datatype,area_um2,bbox_xmin_um,bbox_ymin_um,bbox_xmax_um,bbox_ymax_um
TOP_main_1,1,11,0.0013987828464999985,-0.524794,1.059969,-0.44632499999999997,1.170979
TOP_main_1,1,11,0.005458602939000002,-1.0208679999999999,1.343116,-0.47780599999999995,1.393616
TOP_main_1,1,11,0.00141428089,-0.474925,1.396545,-0.44632499999999997,1.5417779999999999
TOP_main_1,1,11,0.0005083488615000034,-1.037008,1.5755899999999998,-0.977931,1.612029
TOP_main_1,1,11,0.001414280890000002,-0.474925,1.7965449999999998,-0.44632499999999997,1.941778
TOP_main_1,1,11,0.005376786261000002,-1.036154,1.960213,-0.49829799999999996,2.010915
TOP_main_1,1,11,0.004443498483000002,-0.8360529999999999,0.729271,-0.541736,0.97456
TOP_main_1,1,11,0.00486670541000009,-0.9353849999999999,2.306628,-0.45292699999999997,2.374108
TOP_main_1,1,11,0.005465755292000002,-1.0556619999999999,1.160618,-0.524794,1.223777
TOP_main_1,1,11,0.0013998097860000022,-1.0656079999999999,1.223777,-1.0208679999999999,1.355626
TOP_main_1,1,11,0.005320193945000006,-1.008993,1.526294,-0.474925,1.5755899999999998
TOP_main_1,1,11,0.00014758497049999913,-0.493079,1.393616,-0.474925,1.412029
TOP_main_1,1,11,0.0014142912670000033,-1.0656079999999999,1.5965449999999999,-1.037008,1.7417779999999998
TOP_main_1,1,11,0.002153411738999947,-1.037008,1.726294,-0.5239929999999999,1.7675589999999999
TOP_main_1,1,11,0.00043862550100000325,-0.523365,1.926294,-0.474925,1.960213
TOP_main_1,1,11,0.003675131364500061,-0.9980749999999999,1.7675589999999999,-0.474925,1.812029
TOP_main_1,1,11,0.0014322598619999985,-1.0656079999999999,1.9956429999999998,-1.036154,2.138464
TOP_main_1,1,11,5.2177382000001366e-05,-1.036154,2.127408,-1.0261879999999999,2.138464
TOP_main_1,1,11,0.005461257350000106,-1.040036,2.138464,-0.49832499999999996,2.189861
TOP_main_1,1,11,0.0014009011670000017,-0.49832499999999996,2.178095,-0.44632499999999997,2.306628
TOP_main_1,1,11,0.016741590392000228,-4.5,-1.103553,-3.8486399999999996,0.005
TOP_main_1,1,11,0.006130813389999921,-3.8486399999999996,-1.1147799999999999,-3.685641,-0.597885
TOP_main_1,1,11,0.0050029400209999015,-3.685641,-1.047247,-3.499037,-0.555195
TOP_main_1,1,11,0.0037624999210000383,-3.499037,-1.1147799999999999,-3.311308,-0.632863
TOP_main_1,1,11,0.00612790390450011,-3.311308,-1.065666,-3.145178,-0.555195
TOP_main_1,1,11,0.006151062285999902,-3.145178,-1.1147799999999999,-2.991447,-0.570595
TOP_main_1,1,11,0.006135004160500104,-2.991447,-1.114452,-2.841366,-0.563089
TOP_main_1,1,11,0.006121953141999945,-2.841366,-1.077219,-2.681645,-0.555195
TOP_main_1,1,11,0.0058202754095000335,-2.681645,-1.1147799999999999,-2.49688,-0.617418
TOP_main_1,1,11,0.0029513406635000507,-2.49688,-1.026733,-2.3081739999999997,-0.555195
TOP_main_1,1,11,0.006137792179000087,-2.3081739999999997,-1.1147799999999999,-2.138047,-0.609696
TOP_main_1,1,11,0.0061448277094999166,-2.138047,-1.0945799999999999,-1.983317,-0.555195
TOP_main_1,1,11,0.006134417758000008,-1.983317,-1.1096759999999999,-1.833789,-0.556492
TOP_main_1,1,11,0.007030843924000054,-1.833789,-1.1147799999999999,-1.4782609999999998,-0.571319
TOP_main_1,1,11,0.0013869707440000022,1.903171,0.9740519999999999,1.998255,1.069504
TOP_main_1,1,11,0.00530936393099991,1.481882,2.316163,1.9919799999999999,2.385277
TOP_main_1,1,11,0.0013987615739999987,1.920113,1.069504,1.998583,1.1805139999999998
TOP_main_1,1,11,0.005296492327,1.44025,1.352652,1.967101,1.403151
TOP_main_1,1,11,0.0014142577729999958,1.969982,1.406081,1.998583,1.551313
TOP_main_1,1,11,0.0005083761910000005,1.42411,1.585125,1.483187,1.621564
TOP_main_1,1,11,0.0014142577729999958,1.969982,1.8060809999999998,1.998583,1.9513129999999999
TOP_main_1,1,11,0.005214703488500003,1.424964,1.9697479999999998,1.9466089999999998,2.020451
TOP_main_1,1,11,0.004962495702999992,1.563947,0.729271,1.903171,0.9840949999999999
TOP_main_1,1,11,0.005605984259500004,1.395,2.375115,1.481882,2.9
TOP_main_1,1,11,0.00530364794350001,1.405457,1.170153,1.920113,1.233312
TOP_main_1,1,11,0.0013997991090000006,1.39551,1.233312,1.44025,1.365162
